customer_id,email,first_name,last_name,street_address,city,state,zip_code,country,phone,registration_date,last_login
1,christopher67@example.org,William,Smith,4653 Nicholas Viaduct Suite 441,New Connorside,TN,91764,US,620-938-8193x76841,2024-06-30 16:59:30,2025-02-26 02:49:11
2,rhondasmith@example.org,William,Johns,2201 Stanley Gardens Apt. 354,North Danielmouth,GA,71503,US,(947)870-9067x6183,2020-09-06 16:59:30,2021-05-02 19:01:21
3,ocervantes@example.org,Jeremy,Wilcox,76716 Susan Parks Apt. 048,Hoffmanport,CT,66168,US,(664)356-4967,2022-07-10 16:59:30,2024-02-05 23:41:51
4,kennethrogers@example.net,Whitney,Thornton,0539 Paul Glen,New Jenniferfort,SD,02528,US,+1-470-818-1589x136,2023-05-29 16:59:30,2024-03-28 12:31:09
5,taylordaniel@example.net,Jessica,Sherman,4215 Carl Gateway,Chandlermouth,GA,53130,US,+1-587-554-8029,2025-01-28 16:59:30,2025-03-03 16:57:56
6,qcollins@example.com,Audrey,Ingram,384 Faith Road Apt. 065,Allenmouth,PR,11571,US,001-551-302-1401x283,2025-01-28 16:59:30,2025-02-22 20:20:39
7,robert70@example.net,Kevin,Anderson,979 Sarah Junction Suite 177,Port Toddtown,ID,04781,US,001-560-551-6483x895,2025-03-07 16:59:30,2025-03-10 09:32:06
8,qrhodes@example.org,Megan,Fowler,87677 Mathews Branch Suite 434,Shellyshire,AS,94345,US,730.333.2496x7574,2021-06-13 16:59:30,2024-05-15 19:38:22
9,timothygibson@example.net,Patricia,Ward,480 Haynes Mill Apt. 181,Paulmouth,PR,38447,US,001-947-861-1107,2023-05-24 16:59:30,2023-12-12 19:20:18
10,changbethany@example.net,William,Frye,4565 Hernandez Port Suite 226,West William,KY,89669,US,(485)860-6699x2613,2022-09-11 16:59:30,2024-08-26 06:17:17
11,natashamorton@example.com,Chad,Floyd,97777 Mcdonald Throughway Apt. 996,South Jeffrey,NH,77736,US,4734512896,2025-03-13 16:59:30,2025-03-13 16:59:30
12,johnnygray@example.com,Lisa,Preston,8243 Jesse Spur,North Kristin,IL,81343,US,(894)730-6952x3578,2020-07-01 16:59:30,2024-02-27 15:53:20
13,danielnixon@example.net,Karen,Marsh,28537 Antonio Light Suite 488,Justinfort,WI,45149,US,7425554280,2021-09-26 16:59:30,2025-02-09 09:11:41
14,davidbarron@example.com,Austin,Lam,2550 Hawkins Manors Suite 860,North Jeremy,OR,17548,US,+1-958-466-3992x879,2024-12-21 16:59:30,2025-03-07 02:55:58
15,kathleenweaver@example.net,Adam,Smith,14249 Robles Extensions Apt. 796,Kevinchester,AL,31231,US,310-928-7451x20220,2025-01-12 16:59:30,2025-02-03 08:37:08
16,chanmichael@example.com,Erin,Duncan,1648 Harvey Shoals Apt. 046,Andersonmouth,MD,85728,US,542-503-6078x548,2025-01-11 16:59:30,2025-01-12 12:36:16
17,rwashington@example.net,Elizabeth,Peterson,723 Raymond Station Apt. 601,Matthewberg,IN,18140,US,001-919-470-1501x967,2024-09-26 16:59:30,2024-10-01 08:42:48
18,rwilkinson@example.net,Deborah,Gonzalez,1920 Melinda Drives,Davidbury,VT,20082,US,895.582.9158x5511,2023-10-28 16:59:30,2024-12-04 08:21:30
19,imoore@example.com,Carolyn,Holmes,49207 Rivas Mount Suite 142,Annamouth,GU,31725,US,+1-831-924-9773,2024-04-07 16:59:30,2024-09-17 21:55:33
20,jeffrey80@example.org,Christina,Duncan,3435 Dean Mountain Suite 296,Thomasmouth,MH,53729,US,001-634-280-4247x96000,2024-10-10 16:59:30,2025-01-11 07:47:37
21,robertgreene@example.org,Caitlin,Miller,573 Perry Heights Apt. 662,West Jose,FL,04833,US,801-652-7311x722,2023-04-30 16:59:30,2025-01-12 05:21:35
