order_id,customer_id,order_date,status,payment_method,shipping_address,shipping_city,shipping_state,shipping_zip,shipping_country,processing_date,shipping_date,delivery_date,total_amount
1,1,2025-01-10 16:59:32,Delivered,Google Pay,4653 Nicholas Viaduct Suite 441,New Connorside,TN,91764,US,2025-01-10 16:59:32,2025-01-14 16:59:32,2025-01-21 16:59:32,289.58
2,2,2024-04-05 16:59:32,Delivered,Gift Card,2201 Stanley Gardens Apt. 354,North Danielmouth,GA,71503,US,2024-04-06 16:59:32,2024-04-12 16:59:32,2024-04-20 16:59:32,736.23
3,3,2024-12-22 16:59:32,Delivered,Apple Pay,76716 Susan Parks Apt. 048,Hoffmanport,CT,66168,US,2024-12-23 16:59:32,2024-12-30 16:59:32,2025-01-07 16:59:32,994.15
4,3,2023-11-20 16:59:32,Delivered,Gift Card,76716 Susan Parks Apt. 048,Hoffmanport,CT,66168,US,2023-11-22 16:59:32,2023-11-24 16:59:32,2023-11-28 16:59:32,495.8
5,3,2024-04-09 16:59:32,Delivered,Apple Pay,76716 Susan Parks Apt. 048,Hoffmanport,CT,66168,US,2024-04-09 16:59:32,2024-04-15 16:59:32,2024-04-23 16:59:32,23.28
6,4,2023-09-28 16:59:32,Delivered,Gift Card,0539 Paul Glen,New Jenniferfort,SD,02528,US,2023-09-30 16:59:32,2023-10-06 16:59:32,2023-10-13 16:59:32,371.89
7,5,2025-03-13 16:59:32,Shipped,Apple Pay,4215 Carl Gateway,Chandlermouth,GA,53130,US,2025-03-13 16:59:32,2025-03-19 16:59:32,2025-03-26 16:59:32,488.23
8,5,2025-02-18 16:59:32,Delivered,Apple Pay,4215 Carl Gateway,Chandlermouth,GA,53130,US,2025-02-19 16:59:32,2025-02-26 16:59:32,2025-03-07 16:59:32,335.37
9,5,2025-02-12 16:59:32,Delivered,Apple Pay,4215 Carl Gateway,Chandlermouth,GA,53130,US,2025-02-13 16:59:32,2025-02-14 16:59:32,2025-02-17 16:59:32,308.72
10,6,2025-02-12 16:59:32,Delivered,Gift Card,384 Faith Road Apt. 065,Allenmouth,PR,11571,US,2025-02-13 16:59:32,2025-02-14 16:59:32,2025-02-16 16:59:32,446.41
11,7,2025-03-08 16:59:32,Delivered,Google Pay,979 Sarah Junction Suite 177,Port Toddtown,ID,04781,US,2025-03-08 16:59:32,2025-03-09 16:59:32,2025-03-13 16:59:32,258.37
12,7,2025-03-10 16:59:32,Shipped,Google Pay,979 Sarah Junction Suite 177,Port Toddtown,ID,04781,US,2025-03-12 16:59:32,2025-03-19 16:59:32,2025-03-28 16:59:32,305.48
