customer_id,email,first_name,last_name,street_address,city,state,zip_code,country,phone,registration_date,last_login
2410,ihill@example.net,Gary,Fisher,1555 David Trail,Gabrielburgh,AS,75845,US,260-950-7415,2024-03-02 16:59:31,2025-02-18 18:43:35
854,jeremysimpson@example.org,Kevin,Taylor,28816 Jamie Island,Port Tasha,HI,94465,US,660-483-8814,2021-03-03 16:59:31,2025-02-28 03:50:12
3603,parsonsdonna@example.org,Karen,Joseph,87681 Samantha Falls Suite 801,Lowerystad,TX,70982,US,(997)440-8596,2025-01-10 16:59:31,2025-03-04 11:52:09
1476,yryan@example.net,Brooke,Walker,7157 Hall Crossing,Murphyfurt,IN,80305,US,584-539-6822,2022-12-21 16:59:31,2023-11-21 10:31:57
4048,alvarezerica@example.net,Leslie,Molina,096 Roy Mountains Apt. 333,Markstad,LA,27237,US,772-646-3184x180,2023-08-10 16:59:32,2024-06-10 01:36:23
650,leestacey@example.org,Jill,Rivas,78796 John Pass,Maloneton,MP,67697,US,(320)944-8435,2023-12-16 16:59:31,2024-08-05 23:03:47
3287,fordangela@example.com,Martha,Sanders,06828 Karen Manors,New Ashley,LA,84028,US,001-839-643-8522x07311,2024-06-12 16:59:31,2024-11-10 10:47:40
4793,garciaariel@example.net,Mary,Martinez,730 Jill Prairie,Coleburgh,WA,93541,US,4917404093,2025-03-07 16:59:32,2025-03-07 17:47:52
4008,wjensen@example.com,Jorge,Chase,733 Perez Trafficway,Maryside,DE,37734,US,414.966.3321x70131,2024-05-13 16:59:32,2024-10-25 01:24:29
4468,larabeth@example.net,Hannah,Larsen,232 Michelle Cliff,West Melissa,VT,33046,US,844-784-2353x81018,2025-01-27 16:59:32,2025-03-10 19:13:17
3416,thomas48@example.net,Sylvia,Wilson,195 Levine Ranch Apt. 167,Ericport,OH,36153,US,(282)984-7830,2023-08-06 16:59:31,2025-01-03 17:25:14
4738,qmartinez@example.com,Lisa,Robbins,66447 Hayes Lights,Mollymouth,NC,16573,US,814-450-1709x813,2024-08-03 16:59:32,2025-02-05 23:55:23
4610,fclark@example.org,Charles,Espinoza,686 Hernandez Extension Apt. 579,Lake Alexandertown,VI,11919,US,606-417-2119,2024-06-28 16:59:32,2024-07-18 20:52:29
2914,lindseyjennifer@example.net,Devin,Patrick,767 Paula Manor Apt. 261,Smithbury,MD,35729,US,314-788-0340,2020-07-12 16:59:31,2024-06-01 21:00:57
1429,scotthunter@example.net,Jose,Barr,0771 Chase Common,West Kylemouth,WA,11752,US,001-279-992-2910,2023-02-27 16:59:31,2024-01-26 00:38:56
3998,kevin09@example.com,Mary,Thomas,88614 Levi Divide Suite 443,Williamsland,DE,94104,US,280-994-4025x9346,2024-06-02 16:59:32,2025-01-25 05:41:48
1244,gzamora@example.org,Daniel,Massey,92526 Craig Lakes,Heathermouth,MA,58699,US,6052655530,2021-08-19 16:59:31,2023-05-09 11:53:40
3516,lewiskatrina@example.com,Brandon,Thompson,179 Jones Estate,Port Richardstad,SD,60002,US,001-823-363-8293x47971,2020-10-20 16:59:31,2020-11-22 00:08:48
2448,tracey89@example.org,Deborah,Mcintosh,83241 Sarah Curve,Robertotown,MS,29887,US,+1-502-851-1902x441,2025-01-03 16:59:31,2025-02-21 10:01:28
